strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-5-20,16.9988,70.6270,35.4549,35.1722,-15.3701,2.1044,120,62.4453
momentum-20,15.3213,60.3902,35.4549,24.9353,-14.3555,1.9109,87,53.1410
momentum-40,22.2595,45.2806,35.4549,9.8257,-12.0277,1.6376,62,39.4978
ensemble-10-30,13.6045,39.6222,35.4549,4.1673,-15.4639,1.3874,109,30.1654
ensemble-20-50,6.9962,18.7534,35.4549,-16.7015,-14.5053,0.9030,83,9.4710
ma-10-30,3.2112,14.6959,35.4549,-20.7590,-12.5194,1.1447,36,8.1277
ma-20-50,24.7835,5.1409,35.4549,-30.3140,-9.3866,0.4693,23,-0.4818
momentum-60,19.3269,-1.9270,35.4549,-37.3819,-21.2848,0.0039,65,-17.0544
mean-reversion-40,15.5204,-9.3364,35.4549,-44.7913,-31.6164,-0.1190,75,-31.6252
ma-5-20,9.4647,-19.0619,35.4549,-54.5168,-22.1422,-1.3099,65,-37.3742
mean-reversion-20,24.7085,-19.7235,35.4549,-55.1784,-32.6465,-0.5239,69,-43.3715
mean-reversion-60,-4.1676,-30.6396,35.4549,-66.0945,-37.3887,-1.0013,78,-58.5048
