strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
momentum-20-t3,-7.1792,32.7440,50.0899,-17.3459,-7.1103,1.9045,74,30.4514
momentum-10-t8,-6.1750,28.6002,50.0899,-21.4897,-6.7966,2.2130,35,27.9083
ensemble-5-20-c70,4.4771,28.6825,50.0899,-21.4075,-7.0310,1.7514,78,26.0550
momentum-20-t4,8.2224,28.7036,50.0899,-21.3863,-8.2804,1.7443,72,25.3700
mean-reversion-20-t10,15.5737,22.7294,50.0899,-27.3605,-3.9492,2.1831,34,23.8486
ensemble-8-21-c60,-4.7725,27.4536,50.0899,-22.6364,-7.3791,1.6822,112,23.7816
mean-reversion-20-t8,15.7295,22.5910,50.0899,-27.4989,-3.7075,2.0704,52,23.2820
ensemble-5-20-c60,20.8920,27.2505,50.0899,-22.8394,-8.6512,1.6781,122,22.5434
momentum-15-t3,5.3378,25.9793,50.0899,-24.1107,-8.0384,1.6426,94,22.1595
ensemble-10-30-c60,10.0364,24.6181,50.0899,-25.4718,-6.5910,1.5207,96,21.4553
momentum-60-t3,-4.2732,23.4537,50.0899,-26.6362,-7.0026,1.4736,34,21.1691
ensemble-5-20-c65,16.9658,25.4390,50.0899,-24.6509,-8.2233,1.6219,118,20.9777
momentum-60-t4,3.5603,23.2742,50.0899,-26.8157,-7.0126,1.4617,34,20.9594
momentum-30-t4,0.7433,23.4540,50.0899,-26.6359,-6.6238,1.4402,60,20.8289
ensemble-8-21-c65,10.8291,23.8179,50.0899,-26.2720,-7.1593,1.5271,96,20.2986
ensemble-8-21-c70,20.0568,24.6889,50.0899,-25.4010,-9.0852,1.4763,78,20.1761
momentum-90-t8,17.0996,20.2523,50.0899,-29.8376,-5.4259,1.5067,16,19.4188
momentum-20-t6,23.4050,20.9760,50.0899,-29.1139,-7.4145,1.7216,54,18.5198
ensemble-10-30-c70,0.5014,21.2067,50.0899,-28.8832,-6.7480,1.3818,66,18.2641
momentum-15-t6,-9.7475,22.6313,50.0899,-27.4587,-9.3172,1.4122,64,18.1194
momentum-20-t8,21.5736,20.1073,50.0899,-29.9826,-6.2665,1.3764,38,18.0269
momentum-90-t6,21.4991,19.1492,50.0899,-30.9407,-5.4899,1.3714,16,18.0036
ensemble-10-30-c65,10.0065,21.3972,50.0899,-28.6928,-6.8912,1.3744,90,17.8666
ensemble-20-50-c60,2.0793,20.1084,50.0899,-29.9815,-5.9688,1.3882,74,17.5252
mean-reversion-15-t8,22.6985,19.8958,50.0899,-30.1941,-6.4437,1.3540,54,17.3354
ensemble-15-45-c60,10.3190,20.2732,50.0899,-29.8167,-6.9824,1.3207,86,16.6560
momentum-30-t3,10.1474,20.0327,50.0899,-30.0572,-7.1586,1.2611,72,16.4618
momentum-40-t6,13.9840,19.0918,50.0899,-30.9981,-7.0032,1.2338,35,16.3073
ensemble-5-15-c70,2.7491,20.2050,50.0899,-29.8849,-8.1756,1.3436,98,15.6182
momentum-15-t8,12.0893,20.5961,50.0899,-29.4938,-10.6109,1.3707,51,15.4203
ensemble-5-15-c65,2.2335,19.7374,50.0899,-30.3526,-6.9338,1.2971,136,15.1047
mean-reversion-40-t10,14.6746,14.4014,50.0899,-35.6886,-3.2101,1.6098,36,14.8143
mean-reversion-30-t10,14.2706,13.9830,50.0899,-36.1070,-2.8959,1.5881,32,14.6369
