strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
momentum-60-t3,6,2,3.2995,12.1149,-8.8153,-9.6395,0.5895,100,0.5929
ensemble-8-21-c65,6,2,4.2231,12.1149,-7.8917,-12.0914,0.6710,256,0.5064
mean-reversion-15-t8,6,1,5.1557,12.1149,-6.9592,-11.7998,1.1176,148,3.3422
mean-reversion-40-t10,6,1,4.3179,12.1149,-7.7969,-10.6727,1.1935,107,3.2744
ensemble-10-30-c65,6,1,5.4605,12.1149,-6.6543,-8.5044,1.0414,244,2.9809
ensemble-15-45-c60,6,1,4.9569,12.1149,-7.1579,-8.6994,0.9751,203,2.6848
ensemble-15-45-c65,6,1,4.6592,12.1149,-7.4556,-7.6890,0.9012,191,2.4853
mean-reversion-20-t8,6,1,4.2844,12.1149,-7.8305,-12.3698,1.0124,138,2.0518
ensemble-8-21-c60,6,1,5.6923,12.1149,-6.4225,-11.0106,0.9014,306,1.8770
ensemble-10-30-c60,6,1,4.6229,12.1149,-7.4919,-8.1549,0.8836,266,1.8392
momentum-10-t8,6,1,4.5529,12.1149,-7.5619,-10.3734,0.8577,142,1.4480
momentum-20-t3,6,1,4.4560,12.1149,-7.6588,-11.7333,0.7342,210,0.6899
ensemble-10-30-c70,6,1,3.6197,12.1149,-8.4951,-9.9153,0.7594,209,0.5685
mean-reversion-20-t10,6,1,3.2190,12.1149,-8.8958,-12.3975,0.7479,113,0.3718
ensemble-5-20-c60,6,1,4.3792,12.1149,-7.7357,-11.0247,0.6485,349,0.0598
mean-reversion-15-t10,6,1,3.4132,12.1149,-8.7017,-11.6292,0.4928,103,0.0203
momentum-30-t4,6,1,3.2007,12.1149,-8.9142,-9.2315,0.6223,170,-0.0240
ensemble-5-20-c65,6,1,3.9591,12.1149,-8.1557,-11.6685,0.5859,327,-0.3225
mean-reversion-30-t10,6,1,2.8885,12.1149,-9.2263,-15.7018,0.6559,115,-0.3499
ensemble-5-15-c65,6,1,3.8398,12.1149,-8.2750,-10.5303,0.6899,365,-0.4243
momentum-30-t3,6,1,2.3714,12.1149,-9.7435,-9.0898,0.4911,183,-1.2449
ma-15-45,6,1,2.1548,12.1149,-9.9601,-6.5082,0.1340,82,-1.3100
ensemble-5-15-c70,6,1,3.3876,12.1149,-8.7273,-12.2438,0.6322,267,-1.3351
momentum-15-t6,6,1,2.9078,12.1149,-9.2071,-11.7765,0.5475,172,-1.4031
mean-reversion-40-t8,6,1,1.8019,12.1149,-10.3130,-12.4668,0.7207,128,-1.8492
momentum-10-t6,6,1,2.5324,12.1149,-9.5825,-13.1130,0.5114,192,-2.0984
momentum-120-t4,6,1,-0.0097,12.1149,-12.1245,-6.7492,0.0366,44,-2.2085
momentum-120-t3,6,1,-0.0335,12.1149,-12.1484,-6.7492,0.0277,46,-2.2370
momentum-120-t8,6,1,-0.0507,12.1149,-12.1656,-6.7492,0.0207,42,-2.2885
momentum-120-t6,6,1,-0.0972,12.1149,-12.2121,-6.7492,0.0072,44,-2.3610
mean-reversion-60-t10,6,1,0.6587,12.1149,-11.4561,-12.2837,0.1097,94,-2.4822
ensemble-20-50-c65,6,1,1.0668,12.1149,-11.0480,-11.0846,0.3558,167,-2.7088
ensemble-20-50-c70,6,1,0.8290,12.1149,-11.2859,-10.2040,0.2998,147,-2.7601
momentum-40-t3,6,1,1.9055,12.1149,-10.2093,-10.3045,0.1919,145,-2.8005
ensemble-20-50-c60,6,1,0.7132,12.1149,-11.4017,-9.8961,0.1859,197,-3.4185
momentum-15-t4,6,1,1.7114,12.1149,-10.4034,-14.7640,0.3215,242,-4.0262
