strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
momentum-20,8.2224,28.7172,50.2320,-21.5149,-8.2804,1.7449,72,25.3848
ensemble-5-20,18.9974,28.2638,50.2320,-21.9682,-8.4851,1.7203,122,23.7490
ensemble-10-30,9.3884,24.9478,50.2320,-25.2842,-6.5904,1.5507,96,21.8454
momentum-60,3.5603,23.3020,50.2320,-26.9300,-7.0126,1.4634,34,20.9906
ensemble-20-50,9.4290,18.4500,50.2320,-31.7820,-5.9549,1.3086,72,15.7565
ma-10-30,19.0605,14.8203,50.2320,-35.4117,-9.0565,1.1300,55,10.0935
momentum-40,8.7895,14.5039,50.2320,-35.7281,-9.6008,0.9024,59,8.8881
ma-20-50,20.6789,7.0370,50.2320,-43.1950,-7.4002,0.5911,30,2.8090
ma-5-20,17.5819,5.2882,50.2320,-44.9439,-14.0448,0.3873,102,-5.1064
mean-reversion-40,12.5700,1.6087,50.2320,-48.6233,-11.2472,0.1734,48,-6.3151
mean-reversion-20,19.8779,-1.9848,50.2320,-52.2169,-13.6849,-0.0889,58,-12.2178
mean-reversion-60,10.1560,-8.6344,50.2320,-58.8664,-15.1546,-0.6073,48,-20.6594
