strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
ensemble-10-30,6,1,4.7261,12.1149,-7.3887,-8.1549,0.9021,262,1.9687
ensemble-5-20,6,1,4.6858,12.1149,-7.4291,-11.0652,0.7027,345,0.5181
ensemble-20-50,6,1,0.9005,12.1149,-11.2143,-9.8961,0.2522,187,-3.1038
mean-reversion-60,6,1,-0.3968,12.1149,-12.5117,-11.8133,0.3266,123,-4.2792
momentum-20,6,0,4.7478,12.1149,-7.3671,-10.4106,0.8038,191,1.1779
momentum-60,6,0,3.0393,12.1149,-9.0756,-10.0358,0.4896,94,0.0418
ma-10-30,6,0,2.4913,12.1149,-9.6236,-8.6134,0.3881,154,-0.6871
momentum-40,6,0,2.2700,12.1149,-9.8448,-9.5910,0.3093,132,-1.5929
ma-20-50,6,0,1.3414,12.1149,-10.7734,-5.9532,-0.1475,63,-1.8590
mean-reversion-40,6,0,0.6744,12.1149,-11.4404,-13.6212,0.5147,140,-4.1177
mean-reversion-20,6,0,1.0261,12.1149,-11.0887,-10.9930,0.3093,179,-4.2130
ma-5-20,6,0,-2.7627,12.1149,-14.8776,-15.3046,-0.3265,276,-10.7220
