strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-10-30,16.0332,18.1360,29.4039,-11.2679,-6.5468,1.4816,78,15.2838
momentum-60,10.5699,13.9888,29.4039,-15.4151,-7.0324,1.1351,34,11.0080
ensemble-5-20,11.3202,15.6018,29.4039,-13.8021,-8.4118,1.2592,106,10.5325
ensemble-20-50,10.7898,12.9688,29.4039,-16.4351,-6.0152,1.0651,62,9.9490
momentum-20,20.6770,11.5340,29.4039,-17.8699,-7.2462,1.0347,62,7.6533
momentum-40,13.1307,11.7853,29.4039,-17.6186,-9.9396,0.9216,49,6.1877
ma-5-20,6.7546,8.0051,29.4039,-21.3988,-6.8843,0.7923,78,3.5548
ma-10-30,10.0741,8.4141,29.4039,-20.9898,-9.8128,0.8387,51,2.6932
ma-20-50,5.8828,1.7795,29.4039,-27.6244,-7.4042,0.2294,28,-3.1344
mean-reversion-40,8.9722,1.6452,29.4039,-27.7587,-10.7458,0.2030,40,-5.7337
mean-reversion-20,17.1011,-3.7810,29.4039,-33.1849,-11.1160,-0.2807,54,-12.6477
mean-reversion-60,-3.9000,-7.0433,29.4039,-36.4472,-12.6284,-0.6524,38,-17.3166
