strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-10-30,34.6856,34.3467,35.4549,-1.1082,-11.0931,1.5610,247,25.3183
momentum-40,24.1350,32.2110,35.4549,-3.2438,-14.3231,1.4338,129,23.1887
momentum-20,21.2005,26.4056,35.4549,-9.0493,-16.5415,1.2809,164,14.9354
ensemble-20-50,24.4710,24.6486,35.4549,-10.8063,-12.4895,1.2352,213,14.7408
ensemble-5-20,20.9332,28.6673,35.4549,-6.7876,-17.8050,1.3159,266,14.7258
momentum-60,31.2303,22.2015,35.4549,-13.2534,-14.8604,1.0747,113,12.4316
ma-10-30,14.6222,7.2334,35.4549,-28.2215,-10.9135,0.7011,85,-0.1582
ma-20-50,16.4815,1.3389,35.4549,-34.1160,-6.8389,0.2061,35,-3.3942
mean-reversion-40,11.4316,1.1643,35.4549,-34.2906,-18.8026,0.1667,128,-13.2841
ma-5-20,7.6099,1.0696,35.4549,-34.3853,-18.1492,0.1461,150,-13.4352
mean-reversion-60,2.1957,-6.1205,35.4549,-41.5754,-19.6177,-0.2013,116,-21.5947
mean-reversion-20,20.5212,-9.1278,35.4549,-44.5827,-21.4941,-0.3245,133,-26.4079
