strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-30-90-c70,33.7736,32.6828,41.7035,-9.0207,-9.1842,1.0339,40,27.9809
ensemble-30-90-c65,25.9616,29.8977,41.7035,-11.8058,-8.2793,0.9826,46,25.5613
ensemble-5-20-c70,-7.7492,31.8172,41.7035,-9.8863,-11.9787,1.1432,108,24.1574
ensemble-30-90-c60,-15.0671,26.4633,41.7035,-15.2402,-8.2793,0.9034,52,21.8486
momentum-20-t3,-9.9809,29.1603,41.7035,-12.5432,-12.0275,1.0804,106,21.3833
ensemble-5-20-c60,-5.7552,29.0590,41.7035,-12.6445,-12.1463,1.0204,176,19.6847
mean-reversion-15-t8,6.8067,22.1343,41.7035,-19.5692,-6.2005,1.0088,67,18.7816
relative-strength-189-100-b60,11.0208,22.2012,41.7035,-19.5024,-5.8009,1.1402,112,18.4709
momentum-20-t4,-10.2407,24.6991,41.7035,-17.0044,-10.6173,0.9681,98,17.7741
momentum-60-t3,-12.4775,23.1574,41.7035,-18.5461,-8.9829,0.8174,60,17.7534
relative-strength-63-150-b60,10.8753,21.0269,41.7035,-20.6766,-5.5494,1.1801,119,17.4001
ensemble-5-20-c65,29.4532,25.7554,41.7035,-15.9481,-13.9859,0.9230,170,15.1105
ensemble-8-21-c65,35.6118,21.6851,41.7035,-20.0185,-9.5377,0.8720,126,14.7095
mean-reversion-20-t10,15.8893,19.9901,41.7035,-21.7134,-10.0105,0.9099,48,14.3431
momentum-60-t6,-9.6088,18.3367,41.7035,-23.3669,-8.9196,0.7338,48,13.0465
momentum-10-t8,5.0020,20.0628,41.7035,-21.6407,-12.0146,0.9794,62,12.9721
momentum-90-t8,-8.6025,18.7444,41.7035,-22.9591,-10.8616,0.6565,36,12.2773
relative-strength-126-100-b60,27.2718,16.1170,41.7035,-25.5865,-5.2293,0.9422,124,12.1224
ensemble-8-21-c70,32.3515,18.6468,41.7035,-23.0568,-9.1220,0.7358,104,12.1090
relative-strength-63-100-b60,6.4648,15.1522,41.7035,-26.5514,-4.8097,0.8766,107,11.6390
momentum-90-t3,-15.4067,17.4465,41.7035,-24.2570,-9.7558,0.6199,42,11.5050
momentum-30-t6,-9.9202,16.0880,41.7035,-25.6155,-7.8344,0.7320,58,11.2996
relative-strength-63-100-b50,2.3292,15.0503,41.7035,-26.6532,-6.1275,0.7730,101,10.5935
ensemble-10-30-c65,-12.2187,16.5330,41.7035,-25.1706,-7.7206,0.7519,124,10.5383
momentum-20-t6,-8.3219,16.4715,41.7035,-25.2321,-9.6449,0.7994,74,10.3211
momentum-60-t8,6.3120,15.1388,41.7035,-26.5647,-8.1344,0.6117,40,10.2748
momentum-20-t8,-8.3280,16.1853,41.7035,-25.5182,-10.4361,0.7070,62,9.5760
