strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
momentum-20-t6,6,3,7.3213,10.7825,-3.4612,-7.8930,0.7353,111,4.6934
momentum-40-t8,6,3,6.0325,10.7825,-4.7500,-8.3886,0.7284,73,3.2228
momentum-40-t6,6,3,6.2662,10.7825,-4.5163,-8.3886,0.6267,82,3.1088
ensemble-5-20-c60,6,3,6.5309,10.7825,-4.2516,-9.7269,0.5483,257,2.6745
mean-reversion-15-t4,6,3,4.3684,10.7825,-6.4141,-8.6521,0.5403,217,1.0613
ensemble-5-20-c65,6,3,5.2085,10.7825,-5.5740,-12.2314,0.4890,230,0.9150
relative-strength-126-150-b60,6,3,2.7615,10.7825,-8.0210,-14.3138,0.4264,168,-0.7978
relative-strength-126-100-b50,6,3,2.1783,10.7825,-8.6042,-13.8009,0.3139,169,-1.6671
relative-strength-126-100-b60,6,3,2.1488,10.7825,-8.6338,-21.8275,0.5076,142,-1.6907
ma-8-21,6,3,1.1736,10.7825,-9.6089,-20.8722,0.2535,136,-3.4615
relative-strength-126-150-b50,6,3,1.1566,10.7825,-9.6259,-15.5972,0.1637,128,-3.5520
momentum-20-t4,6,2,7.1047,10.7825,-3.6779,-8.6835,0.6836,142,4.3852
ensemble-5-20-c70,6,2,7.3603,10.7825,-3.4222,-12.0628,0.6952,151,4.2755
ensemble-8-21-c65,6,2,6.9143,10.7825,-3.8682,-7.8633,0.6322,195,3.9648
momentum-15-t8,6,2,6.2320,10.7825,-4.5505,-9.0322,0.7294,97,3.6180
ma-10-30,6,2,5.3507,10.7825,-5.4318,-7.4788,0.7150,115,3.2605
momentum-40-t4,6,2,6.4989,10.7825,-4.2836,-8.3886,0.5999,99,3.2352
ma-20-50,6,2,5.3645,10.7825,-5.4180,-6.9847,0.6301,57,3.1916
momentum-20-t8,6,2,5.7909,10.7825,-4.9916,-8.1666,0.6508,95,3.0818
ensemble-20-50-c65,6,2,5.5358,10.7825,-5.2467,-7.2158,0.7106,136,2.9186
mean-reversion-40-t10,6,2,4.4285,10.7825,-6.3540,-8.7197,0.5286,90,2.1813
relative-strength-63-100-b60,6,2,4.3457,10.7825,-6.4368,-11.3807,0.7051,162,2.0062
mean-reversion-30-t10,6,2,4.3095,10.7825,-6.4730,-8.6337,0.4675,87,1.7683
ensemble-8-21-c60,6,2,5.4953,10.7825,-5.2872,-8.3952,0.4595,250,1.5872
relative-strength-63-150-b60,6,2,4.4252,10.7825,-6.3573,-13.5938,0.7201,187,1.5749
relative-strength-63-100-b50,6,2,4.0333,10.7825,-6.7492,-13.2411,0.6364,162,1.1325
momentum-40-t3,6,2,5.0076,10.7825,-5.7749,-10.9542,0.4365,109,1.0231
ensemble-5-15-c70,6,2,3.8020,10.7825,-6.9805,-7.8207,0.4273,181,0.2151
relative-strength-63-150-b50,6,2,3.6168,10.7825,-7.1657,-13.5872,0.5717,153,0.0831
mean-reversion-20-t10,6,2,2.9656,10.7825,-7.8169,-9.0714,0.3246,80,-0.0082
relative-strength-189-100-b60,6,2,3.7148,10.7825,-7.0677,-21.3950,0.6743,135,-0.0689
mean-reversion-60-t10,6,2,2.5744,10.7825,-8.2081,-7.6961,0.2704,94,-0.2242
mean-reversion-40-t4,6,2,3.4048,10.7825,-7.3777,-9.8312,0.4041,169,-0.2505
