strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
mean-reversion-15-t8,-11.4182,53.9274,41.7035,12.2239,-13.9255,0.9986,67,45.5331
relative-strength-189-100-b60,18.2286,52.9490,41.7035,11.2455,-12.8946,1.1640,112,44.6554
relative-strength-63-150-b60,22.4009,49.3276,41.7035,7.6240,-12.1078,1.1777,119,41.4330
relative-strength-126-100-b60,51.2904,39.6606,41.7035,-2.0429,-10.6666,0.9837,124,32.2148
relative-strength-63-100-b60,-1.0288,33.8951,41.7035,-7.8085,-10.7188,0.8728,107,26.5333
relative-strength-63-100-b50,-1.8364,35.1012,41.7035,-6.6023,-12.7783,0.8073,101,26.3900
relative-strength-63-150-b50,21.5107,32.5263,41.7035,-9.1772,-15.5152,0.7988,94,22.1590
momentum-60-t6,-10.1913,25.1942,41.7035,-16.5094,-15.7058,0.7200,34,15.7453
relative-strength-126-100-b50,47.8235,17.8707,41.7035,-23.8328,-15.6146,0.5042,90,6.9297
relative-strength-126-150-b60,37.7817,17.1808,41.7035,-24.5227,-13.9771,0.5175,124,6.6507
relative-strength-189-100-b50,19.4081,10.4014,41.7035,-31.3022,-15.1499,0.3677,74,-0.1907
momentum-40-t3,3.7537,4.4444,41.7035,-37.2591,-15.4915,0.1821,52,-6.3010
mean-reversion-15-t4,-7.8286,4.4392,41.7035,-37.2644,-15.5031,0.2096,56,-6.3386
relative-strength-126-150-b50,42.1583,2.5018,41.7035,-39.2017,-15.1494,0.1716,10,-7.2020
relative-strength-189-150-b50,43.9860,1.3613,41.7035,-40.3422,-15.1672,0.1073,10,-8.4828
relative-strength-189-150-b60,54.5401,1.0760,41.7035,-40.6275,-15.4060,0.0887,50,-9.7605
ensemble-5-20-c60,6.7539,-0.8025,41.7035,-42.5060,-15.0889,0.0072,34,-11.2759
ensemble-20-50-c65,-5.1995,-1.6821,41.7035,-43.3857,-15.1889,-0.0631,12,-11.9212
ensemble-20-50-c70,-5.1995,-1.6821,41.7035,-43.3857,-15.1889,-0.0631,12,-11.9212
momentum-20-t3,2.7568,-1.7799,41.7035,-43.4834,-15.3072,-0.0318,26,-12.3132
ensemble-5-20-c70,0.8331,-1.8287,41.7035,-43.5323,-15.3493,-0.0315,26,-12.3888
momentum-20-t4,4.6207,-1.8449,41.7035,-43.5484,-15.3633,-0.0334,26,-12.4177
momentum-15-t3,0.0272,-1.9704,41.7035,-43.6739,-15.0725,-0.0628,28,-12.4530
momentum-15-t4,0.3592,-2.0825,41.7035,-43.7860,-15.1696,-0.0650,30,-12.6728
momentum-15-t6,0.9981,-2.2623,41.7035,-43.9658,-15.3253,-0.0665,22,-12.7967
momentum-15-t8,-2.5854,-2.3298,41.7035,-44.0333,-15.3838,-0.0770,18,-12.8433
momentum-20-t6,1.7065,-2.3459,41.7035,-44.0494,-15.7953,-0.0536,20,-13.1200
ensemble-5-20-c65,4.3833,-2.2592,41.7035,-43.9627,-15.6283,-0.0560,36,-13.2496
momentum-90-t3,-15.7994,-2.2704,41.7035,-43.9739,-16.9293,-0.0707,8,-13.5758
momentum-90-t4,-15.7994,-2.2704,41.7035,-43.9739,-16.9293,-0.0707,8,-13.5758
momentum-10-t8,-6.6080,-3.1046,41.7035,-44.8082,-15.1725,-0.1378,18,-13.6024
mean-reversion-20-t4,-0.0489,-2.4627,41.7035,-44.1663,-16.1028,-0.0831,34,-13.7757
ensemble-15-45-c65,1.4844,-3.3249,41.7035,-45.0285,-15.1426,-0.1467,16,-13.7809
momentum-30-t8,0.4569,-3.3156,41.7035,-45.0191,-15.2713,-0.1744,10,-13.7908
ensemble-3-10-c60,2.2176,-2.2510,41.7035,-43.9545,-15.8660,-0.0661,66,-14.0161
momentum-20-t8,1.7361,-3.1273,41.7035,-44.8308,-16.1849,-0.0886,20,-14.2247
momentum-90-t6,-15.7994,-2.7580,41.7035,-44.4615,-17.3438,-0.0914,8,-14.3742
momentum-90-t8,-15.7994,-2.7580,41.7035,-44.4615,-17.3438,-0.0914,8,-14.3742
ensemble-30-90-c70,-16.2804,-2.7580,41.7035,-44.4615,-17.3438,-0.0914,8,-14.3742
ensemble-30-90-c60,-16.2804,-2.7418,41.7035,-44.4453,-17.3300,-0.0920,10,-14.3904
ensemble-30-90-c65,-16.2804,-2.7418,41.7035,-44.4453,-17.3300,-0.0920,10,-14.3904
momentum-120-t3,-10.1959,-4.3548,41.7035,-46.0584,-15.0530,-0.1827,14,-14.7847
momentum-120-t4,-10.1959,-4.3548,41.7035,-46.0584,-15.0530,-0.1827,14,-14.7847
momentum-60-t8,-10.1913,-3.9904,41.7035,-45.6939,-15.8627,-0.1627,10,-14.8266
momentum-120-t6,-12.9789,-4.4683,41.7035,-46.1718,-15.1537,-0.1901,14,-14.9784
mean-reversion-40-t4,-11.0058,-3.9959,41.7035,-45.6995,-16.1420,-0.1585,30,-15.4053
momentum-60-t4,-10.1913,-4.2598,41.7035,-45.9634,-16.0988,-0.1977,16,-15.4395
ensemble-3-10-c70,3.4842,-4.5826,41.7035,-46.2861,-15.4531,-0.2137,30,-15.6545
ensemble-5-15-c65,4.0401,-4.4110,41.7035,-46.1145,-15.5969,-0.1782,46,-15.8254
ma-30-90,-15.5585,-5.3187,41.7035,-47.0223,-15.0729,-0.1968,20,-15.9097
momentum-10-t6,-0.3138,-4.5709,41.7035,-46.2744,-16.4561,-0.1887,20,-16.0448
ensemble-20-50-c60,-5.5923,-5.1209,41.7035,-46.8244,-15.7481,-0.2414,16,-16.1599
ensemble-15-45-c70,0.9673,-4.8098,41.7035,-46.5133,-16.4460,-0.2193,16,-16.2582
mean-reversion-40-t8,-10.3532,-5.6210,41.7035,-47.3245,-15.3175,-0.2263,22,-16.4699
mean-reversion-60-t6,-9.2874,-6.2959,41.7035,-47.9994,-15.9042,-0.2602,18,-17.5139
ensemble-5-15-c60,6.6779,-5.4946,41.7035,-47.1982,-16.5537,-0.2130,56,-17.8006
