strategy,folds,positive_folds,avg_test_return_pct,avg_benchmark_return_pct,avg_edge_pct,worst_drawdown_pct,avg_sharpe,total_trades,avg_score
momentum-10-t8,6,5,14.3449,10.7825,3.5624,-25.4181,0.8153,102,7.3883
ensemble-10-30-c65,6,5,10.2104,10.7825,-0.5721,-21.5601,0.6123,161,2.8168
momentum-20-t4,6,4,16.9684,10.7825,6.1859,-15.4862,0.7626,141,10.9983
ensemble-5-20-c70,6,4,16.5368,10.7825,5.7543,-24.1470,0.7066,141,9.3900
ensemble-5-20-c60,6,4,16.0046,10.7825,5.2220,-16.0668,0.6310,232,9.0404
ensemble-8-21-c65,6,4,15.6367,10.7825,4.8542,-15.3094,0.6181,187,9.0218
momentum-15-t8,6,4,14.8969,10.7825,4.1144,-15.4584,0.8034,95,8.7126
momentum-40-t6,6,4,13.9828,10.7825,3.2003,-15.4492,0.6978,84,7.2041
ensemble-20-50-c65,6,4,12.7165,10.7825,1.9340,-14.1506,0.7496,136,6.3772
momentum-20-t3,6,4,12.9716,10.7825,2.1890,-16.2998,0.5512,164,6.1428
momentum-60-t3,6,4,12.2746,10.7825,1.4921,-25.9854,0.7089,73,5.3949
relative-strength-189-100-b60,6,4,11.2969,10.7825,0.5144,-23.4149,0.7467,135,4.8606
mean-reversion-30-t10,6,4,10.4661,10.7825,-0.3164,-16.7422,0.4506,88,4.2166
relative-strength-189-100-b50,6,4,10.6305,10.7825,-0.1521,-23.0843,0.6116,115,3.6680
ensemble-10-30-c60,6,4,9.8379,10.7825,-0.9446,-22.4243,0.6004,182,2.5332
ensemble-8-21-c70,6,4,10.5371,10.7825,-0.2454,-24.2647,0.4836,141,2.2970
momentum-30-t4,6,4,9.1346,10.7825,-1.6479,-21.0190,0.5045,122,1.6353
momentum-30-t3,6,4,7.5262,10.7825,-3.2563,-22.0530,0.4607,126,-0.4886
momentum-20-t6,6,3,17.0160,10.7825,6.2335,-15.4114,0.7984,111,10.9496
momentum-20-t8,6,3,13.7494,10.7825,2.9669,-15.3746,0.7217,94,7.6193
ensemble-5-20-c65,6,3,14.1542,10.7825,3.3717,-18.8165,0.6153,199,6.9837
ma-20-50,6,3,12.3096,10.7825,1.5270,-14.1840,0.6694,57,6.5347
ensemble-8-21-c60,6,3,13.2672,10.7825,2.4847,-16.0538,0.4970,231,5.7666
momentum-40-t8,6,3,12.4772,10.7825,1.6947,-15.4492,0.7426,78,5.5647
momentum-40-t4,6,3,12.7649,10.7825,1.9823,-16.6544,0.5736,96,5.4473
mean-reversion-40-t10,6,3,10.6015,10.7825,-0.1810,-17.0776,0.5008,90,4.8289
relative-strength-63-150-b60,6,3,10.4738,10.7825,-0.3087,-24.6762,0.7535,147,4.2025
relative-strength-63-100-b50,6,3,9.3159,10.7825,-1.4666,-24.1094,0.6736,132,3.0255
relative-strength-126-100-b60,6,3,8.9983,10.7825,-1.7842,-23.4149,0.6145,141,2.9604
relative-strength-63-100-b60,6,3,8.8199,10.7825,-1.9626,-24.3907,0.6956,138,2.8743
momentum-60-t4,6,3,9.8764,10.7825,-0.9061,-25.9854,0.5972,68,2.8357
momentum-60-t8,6,3,9.6108,10.7825,-1.1717,-25.9854,0.6363,56,2.7794
relative-strength-189-150-b60,6,3,9.3471,10.7825,-1.4354,-24.7851,0.5104,112,2.1322
momentum-90-t6,6,3,10.0435,10.7825,-0.7391,-24.8851,0.5288,50,2.1283
mean-reversion-15-t8,6,3,7.3917,10.7825,-3.3908,-15.9275,0.2288,95,0.3722
relative-strength-63-150-b50,6,3,7.8416,10.7825,-2.9409,-24.6762,0.5822,122,0.2630
relative-strength-126-150-b60,6,3,7.0641,10.7825,-3.7185,-24.7851,0.4833,138,0.0657
ensemble-20-50-c70,6,3,7.8227,10.7825,-2.9598,-25.7947,0.5630,104,-0.1005
ma-5-15,6,3,7.1066,10.7825,-3.6759,-25.7383,0.5401,207,-0.2707
ensemble-5-15-c65,6,3,7.8304,10.7825,-2.9522,-15.7704,0.4159,263,-0.3676
mean-reversion-60-t10,6,3,6.0210,10.7825,-4.7615,-15.2440,0.2410,94,-0.4081
relative-strength-189-150-b50,6,3,7.4636,10.7825,-3.3189,-24.7851,0.4455,100,-0.4915
momentum-30-t8,6,3,6.8021,10.7825,-3.9804,-21.1895,0.3634,86,-0.8830
ensemble-10-30-c70,6,3,7.0878,10.7825,-3.6947,-25.1340,0.4644,127,-1.1136
momentum-10-t3,6,3,7.2461,10.7825,-3.5364,-27.3278,0.5707,174,-1.2314
relative-strength-126-100-b50,6,3,5.8344,10.7825,-4.9481,-23.9244,0.3706,145,-1.6524
momentum-10-t4,6,3,6.9572,10.7825,-3.8253,-25.0803,0.5122,151,-1.6821
momentum-90-t4,6,3,6.6933,10.7825,-4.0893,-24.8851,0.3765,68,-1.9025
ensemble-3-10-c70,6,3,6.9495,10.7825,-3.8330,-29.4849,0.5271,176,-2.2240
relative-strength-126-150-b50,6,3,3.5963,10.7825,-7.1863,-24.7851,0.2256,120,-5.2141
ma-10-30,6,2,13.0069,10.7825,2.2243,-16.0220,0.7962,118,7.9511
mean-reversion-15-t4,6,2,10.3299,10.7825,-0.4526,-16.9220,0.5359,207,2.8086
momentum-90-t8,6,2,10.5302,10.7825,-0.2523,-24.8851,0.5603,54,2.5221
momentum-60-t6,6,2,8.9151,10.7825,-1.8675,-25.9854,0.6052,69,1.6123
momentum-40-t3,6,2,9.3610,10.7825,-1.4215,-21.3260,0.4089,99,0.9908
momentum-15-t6,6,2,8.6467,10.7825,-2.1358,-24.0678,0.4621,118,0.9681
ensemble-5-15-c70,6,2,8.0353,10.7825,-2.7473,-16.5888,0.4522,175,0.4474
mean-reversion-90-t4,6,2,6.4051,10.7825,-4.3774,-20.7453,0.3718,132,-1.0891
ensemble-15-45-c60,6,2,7.4778,10.7825,-3.3048,-21.3141,0.4253,154,-1.0953
mean-reversion-30-t8,6,2,6.6515,10.7825,-4.1310,-22.0338,0.3433,98,-1.2534
ensemble-15-45-c70,6,2,6.9139,10.7825,-3.8687,-26.1939,0.5021,96,-1.3343
mean-reversion-15-t10,6,2,4.5237,10.7825,-6.2588,-15.3394,0.1552,58,-1.4181
momentum-120-t6,6,2,6.7324,10.7825,-4.0501,-25.9774,0.3799,59,-1.4934
ma-15-45,6,2,5.0476,10.7825,-5.7349,-22.3877,0.4222,72,-1.7777
ensemble-15-45-c65,6,2,6.3825,10.7825,-4.4000,-20.3491,0.4232,148,-2.0192
ma-8-21,6,2,5.6264,10.7825,-5.1561,-25.9894,0.3314,133,-2.0885
momentum-30-t6,6,2,6.1672,10.7825,-4.6153,-21.0296,0.3746,104,-2.1353
ensemble-20-50-c60,6,2,5.9329,10.7825,-4.8496,-21.0787,0.3965,150,-2.1834
mean-reversion-40-t8,6,2,5.8279,10.7825,-4.9546,-22.0338,0.3248,99,-2.1945
momentum-15-t4,6,2,5.8010,10.7825,-4.9815,-24.3316,0.3655,151,-2.4578
momentum-10-t6,6,2,6.1065,10.7825,-4.6760,-25.0872,0.4139,128,-2.5787
mean-reversion-20-t10,6,2,3.8044,10.7825,-6.9781,-15.8871,0.0945,71,-3.0664
ensemble-30-90-c65,6,2,6.2876,10.7825,-4.4949,-24.8851,0.3128,92,-3.0839
mean-reversion-60-t6,6,2,5.0468,10.7825,-5.7358,-22.7620,0.2643,105,-3.1080
mean-reversion-90-t6,6,2,5.0700,10.7825,-5.7125,-23.6199,0.1842,101,-3.5120
ensemble-30-90-c70,6,2,6.0125,10.7825,-4.7700,-24.8851,0.3190,76,-3.5513
momentum-90-t3,6,2,4.6193,10.7825,-6.1632,-24.8851,0.3303,80,-4.1920
ma-5-20,6,2,5.1995,10.7825,-5.5830,-26.7061,0.4181,154,-4.3023
mean-reversion-20-t8,6,2,3.7597,10.7825,-7.0228,-16.9435,0.1038,102,-4.3461
mean-reversion-90-t8,6,2,3.6583,10.7825,-7.1242,-22.7620,0.1092,87,-5.2217
ensemble-3-10-c65,6,2,3.0377,10.7825,-7.7448,-25.1296,0.2690,322,-5.9102
mean-reversion-60-t4,6,2,2.6862,10.7825,-8.0964,-22.5051,0.1168,134,-6.4179
momentum-120-t8,6,2,1.6788,10.7825,-9.1037,-25.9774,0.1876,52,-7.0799
mean-reversion-60-t8,6,2,1.0315,10.7825,-9.7510,-23.2890,0.0754,88,-7.7634
ma-30-90,6,1,4.9881,10.7825,-5.7944,-15.4343,-0.1353,44,-2.0559
mean-reversion-40-t4,6,1,6.3198,10.7825,-4.4627,-21.1324,0.3402,149,-2.0560
mean-reversion-30-t4,6,1,6.1957,10.7825,-4.5868,-22.4075,0.2795,162,-2.9305
mean-reversion-20-t4,6,1,6.1094,10.7825,-4.6731,-21.3846,0.3515,181,-3.1109
momentum-120-t4,6,1,5.0768,10.7825,-5.7057,-25.9774,0.3443,64,-3.2918
momentum-15-t3,6,1,5.0851,10.7825,-5.6974,-18.7709,0.1806,187,-3.5164
momentum-120-t3,6,1,4.8784,10.7825,-5.9041,-25.9774,0.3293,64,-3.6112
ensemble-30-90-c60,6,1,4.2758,10.7825,-6.5067,-24.8851,0.2787,112,-5.3220
mean-reversion-15-t6,6,1,2.4788,10.7825,-8.3037,-21.5052,0.0847,119,-6.3545
mean-reversion-40-t6,6,1,2.4020,10.7825,-8.3805,-21.5052,0.1180,111,-6.4687
ensemble-5-15-c60,6,1,2.9131,10.7825,-7.8694,-21.2679,0.1741,280,-6.8244
ma-3-10,6,1,1.1616,10.7825,-9.6210,-24.4205,0.1715,301,-8.6484
mean-reversion-90-t10,6,1,0.3478,10.7825,-10.4347,-23.0095,-0.0491,74,-8.6693
ensemble-3-10-c60,6,1,-0.3533,10.7825,-11.1358,-24.6852,0.0519,399,-10.4941
mean-reversion-30-t6,6,0,-1.4317,10.7825,-12.2142,-21.5052,-0.1329,111,-11.6493
mean-reversion-20-t6,6,0,-2.2028,10.7825,-12.9853,-21.5052,-0.1877,103,-12.0958
