strategy,train_return_pct,test_return_pct,benchmark_return_pct,edge_pct,test_max_drawdown_pct,test_sharpe,test_trades,test_score
ensemble-5-20,15.7249,66.5758,35.4549,31.1210,-15.7097,1.9953,119,57.9752
momentum-20,12.4756,59.7531,35.4549,24.2982,-14.5879,1.8929,86,52.3367
momentum-40,22.3605,44.8733,35.4549,9.4184,-12.1481,1.6243,61,39.0056
ensemble-10-30,-10.9698,38.3586,35.4549,2.9038,-15.7819,1.3512,107,28.6627
ensemble-20-50,6.5768,18.0672,35.4549,-17.3877,-14.4620,0.8780,88,8.6630
ma-10-30,2.9147,14.6333,35.4549,-20.8215,-12.4995,1.1412,36,8.0710
ma-20-50,24.6701,5.0256,35.4549,-30.4293,-9.4691,0.4602,23,-0.6689
momentum-60,18.9903,-2.3189,35.4549,-37.7738,-21.5823,-0.0158,66,-17.6990
ma-5-20,8.8558,-20.7779,35.4549,-56.2327,-23.1755,-1.4498,63,-40.0015
mean-reversion-40,10.1640,-25.6633,35.4549,-61.1182,-32.6349,-0.7887,16,-48.7733
mean-reversion-20,13.4624,-27.0182,35.4549,-62.4731,-32.8247,-0.9036,20,-50.5616
mean-reversion-60,-15.7459,-29.8964,35.4549,-65.3512,-29.8964,-1.0839,10,-51.6968
